,hashtags,id,name,screen_name,hashtags_count
189,Revolted,305125998,Jeffrey Gettleman,gettleman,1
190,Rogingya,305125998,Jeffrey Gettleman,gettleman,1
191,Rohingya,305125998,Jeffrey Gettleman,gettleman,40
192,RohingyaCrisis,305125998,Jeffrey Gettleman,gettleman,9
193,RohingyaGenocide,305125998,Jeffrey Gettleman,gettleman,1
194,RohingyaMuslims,305125998,Jeffrey Gettleman,gettleman,1
195,Rohingyagenocide,305125998,Jeffrey Gettleman,gettleman,1
196,Rohingyas,305125998,Jeffrey Gettleman,gettleman,2
197,RoyHalladay,305125998,Jeffrey Gettleman,gettleman,1
198,SNCC,305125998,Jeffrey Gettleman,gettleman,1
199,SOPAwards2018,305125998,Jeffrey Gettleman,gettleman,1
200,STOPTheseThieves,305125998,Jeffrey Gettleman,gettleman,1
201,SaveRohingyaMuslims,305125998,Jeffrey Gettleman,gettleman,1
202,ScrollFood,305125998,Jeffrey Gettleman,gettleman,1
203,Somalia,305125998,Jeffrey Gettleman,gettleman,8
204,Somalis,305125998,Jeffrey Gettleman,gettleman,1
205,SouthSudan,305125998,Jeffrey Gettleman,gettleman,8
206,SouthSudanNOW,305125998,Jeffrey Gettleman,gettleman,1
207,SriLanka,305125998,Jeffrey Gettleman,gettleman,1
208,Srinagar,305125998,Jeffrey Gettleman,gettleman,1
209,SuhasiniRaj,305125998,Jeffrey Gettleman,gettleman,1
210,TNGovernor,305125998,Jeffrey Gettleman,gettleman,1
211,TPLF,305125998,Jeffrey Gettleman,gettleman,3
212,TakeNobelBackFromSuuKyi,305125998,Jeffrey Gettleman,gettleman,1
213,TalibHussain,305125998,Jeffrey Gettleman,gettleman,1
214,Tanzania,305125998,Jeffrey Gettleman,gettleman,2
215,TheDaily,305125998,Jeffrey Gettleman,gettleman,1
216,TotalLockdown,305125998,Jeffrey Gettleman,gettleman,1
217,TravelTuesday,305125998,Jeffrey Gettleman,gettleman,1
218,Trump,305125998,Jeffrey Gettleman,gettleman,1
219,Turkey,305125998,Jeffrey Gettleman,gettleman,1
220,UN,305125998,Jeffrey Gettleman,gettleman,1
221,UNICEF,305125998,Jeffrey Gettleman,gettleman,1
222,UP,305125998,Jeffrey Gettleman,gettleman,1
223,Unnao,305125998,Jeffrey Gettleman,gettleman,3
224,Update,305125998,Jeffrey Gettleman,gettleman,1
225,UttarPradesh,305125998,Jeffrey Gettleman,gettleman,1
226,Uttarakhand,305125998,Jeffrey Gettleman,gettleman,1
227,Video,305125998,Jeffrey Gettleman,gettleman,1
228,VizagGasLeak,305125998,Jeffrey Gettleman,gettleman,1
229,Warsheikh,305125998,Jeffrey Gettleman,gettleman,1
230,Watch,305125998,Jeffrey Gettleman,gettleman,1
231,WebQoof,305125998,Jeffrey Gettleman,gettleman,1
232,WelcomeHomeAbhinandan,305125998,Jeffrey Gettleman,gettleman,1
233,WhiteHouse,305125998,Jeffrey Gettleman,gettleman,1
234,WingCommanderAbhinandan,305125998,Jeffrey Gettleman,gettleman,1
235,WomenRights,305125998,Jeffrey Gettleman,gettleman,1
236,XploreBD,305125998,Jeffrey Gettleman,gettleman,1
237,Yemen,305125998,Jeffrey Gettleman,gettleman,1
238,ZEEJLF,305125998,Jeffrey Gettleman,gettleman,1
239,ZEEJLF2018,305125998,Jeffrey Gettleman,gettleman,2
240,ZeeJLF,305125998,Jeffrey Gettleman,gettleman,1
241,ZombieTime,305125998,Jeffrey Gettleman,gettleman,1
242,ape,305125998,Jeffrey Gettleman,gettleman,1
243,apes,305125998,Jeffrey Gettleman,gettleman,1
244,ashamed,305125998,Jeffrey Gettleman,gettleman,1
245,bangladesh,305125998,Jeffrey Gettleman,gettleman,1
246,berlin,305125998,Jeffrey Gettleman,gettleman,1
247,bodegastrike,305125998,Jeffrey Gettleman,gettleman,1
248,bookreview,305125998,Jeffrey Gettleman,gettleman,1
249,booksigning,305125998,Jeffrey Gettleman,gettleman,1
250,brutality,305125998,Jeffrey Gettleman,gettleman,1
251,caste,305125998,Jeffrey Gettleman,gettleman,1
252,cat,305125998,Jeffrey Gettleman,gettleman,1
253,chhaupadi,305125998,Jeffrey Gettleman,gettleman,1
254,civilians,305125998,Jeffrey Gettleman,gettleman,1
255,climatechange,305125998,Jeffrey Gettleman,gettleman,3
256,coal,305125998,Jeffrey Gettleman,gettleman,1
257,conservation,305125998,Jeffrey Gettleman,gettleman,1
258,coronavirus,305125998,Jeffrey Gettleman,gettleman,6
259,corruption,305125998,Jeffrey Gettleman,gettleman,1
260,cyclone,305125998,Jeffrey Gettleman,gettleman,1
261,demonetisation,305125998,Jeffrey Gettleman,gettleman,1
262,demonization,305125998,Jeffrey Gettleman,gettleman,1
263,despair,305125998,Jeffrey Gettleman,gettleman,1
264,development,305125998,Jeffrey Gettleman,gettleman,1
265,diaspora,305125998,Jeffrey Gettleman,gettleman,1
266,elephants,305125998,Jeffrey Gettleman,gettleman,1
267,environment,305125998,Jeffrey Gettleman,gettleman,1
268,environmental,305125998,Jeffrey Gettleman,gettleman,1
269,familytravel,305125998,Jeffrey Gettleman,gettleman,1
270,famine,305125998,Jeffrey Gettleman,gettleman,4
271,film,305125998,Jeffrey Gettleman,gettleman,1
272,genocide,305125998,Jeffrey Gettleman,gettleman,1
273,girls,305125998,Jeffrey Gettleman,gettleman,1
274,giving,305125998,Jeffrey Gettleman,gettleman,1
275,gorillas,305125998,Jeffrey Gettleman,gettleman,1
276,guilty,305125998,Jeffrey Gettleman,gettleman,1
277,gulmarg,305125998,Jeffrey Gettleman,gettleman,2
278,humanitariancrisis,305125998,Jeffrey Gettleman,gettleman,1
279,humanrights,305125998,Jeffrey Gettleman,gettleman,1
280,humantrafficking,305125998,Jeffrey Gettleman,gettleman,1
281,inhumane,305125998,Jeffrey Gettleman,gettleman,1
282,innocent,305125998,Jeffrey Gettleman,gettleman,1
283,ivory,305125998,Jeffrey Gettleman,gettleman,1
284,journalism,305125998,Jeffrey Gettleman,gettleman,2
285,kashmir,305125998,Jeffrey Gettleman,gettleman,2
286,labuanbajo,305125998,Jeffrey Gettleman,gettleman,1
287,landrights,305125998,Jeffrey Gettleman,gettleman,1
288,livelihoods,305125998,Jeffrey Gettleman,gettleman,1
289,love,305125998,Jeffrey Gettleman,gettleman,1
290,lovetoread,305125998,Jeffrey Gettleman,gettleman,1
291,lynchings,305125998,Jeffrey Gettleman,gettleman,1
292,menstruation,305125998,Jeffrey Gettleman,gettleman,2
293,migrantworkers,305125998,Jeffrey Gettleman,gettleman,1
294,myanmar,305125998,Jeffrey Gettleman,gettleman,1
295,nationalism,305125998,Jeffrey Gettleman,gettleman,1
296,nature,305125998,Jeffrey Gettleman,gettleman,1
297,nobelpeaceprize2018,305125998,Jeffrey Gettleman,gettleman,1
298,nonviolence,305125998,Jeffrey Gettleman,gettleman,1
299,obesity,305125998,Jeffrey Gettleman,gettleman,1
300,overpopulation,305125998,Jeffrey Gettleman,gettleman,1
301,overweight,305125998,Jeffrey Gettleman,gettleman,1
302,people,305125998,Jeffrey Gettleman,gettleman,1
303,pet,305125998,Jeffrey Gettleman,gettleman,1
304,philanthropy,305125998,Jeffrey Gettleman,gettleman,2
305,photography,305125998,Jeffrey Gettleman,gettleman,4
306,pollution,305125998,Jeffrey Gettleman,gettleman,4
307,publichealth,305125998,Jeffrey Gettleman,gettleman,3
308,puntland,305125998,Jeffrey Gettleman,gettleman,1
309,rape,305125998,Jeffrey Gettleman,gettleman,1
310,refugee,305125998,Jeffrey Gettleman,gettleman,2
311,refugees,305125998,Jeffrey Gettleman,gettleman,2
312,reporting,305125998,Jeffrey Gettleman,gettleman,1
313,rohingya,305125998,Jeffrey Gettleman,gettleman,3
314,rohingyarefugees,305125998,Jeffrey Gettleman,gettleman,1
315,sanitation,305125998,Jeffrey Gettleman,gettleman,1
316,seelampur,305125998,Jeffrey Gettleman,gettleman,1
317,sflcin,305125998,Jeffrey Gettleman,gettleman,1
318,smogindelhi,305125998,Jeffrey Gettleman,gettleman,1
319,solar,305125998,Jeffrey Gettleman,gettleman,1
320,somaliadecides,305125998,Jeffrey Gettleman,gettleman,2
321,southsudan,305125998,Jeffrey Gettleman,gettleman,2
322,stolenapes,305125998,Jeffrey Gettleman,gettleman,1
323,stopthespread,305125998,Jeffrey Gettleman,gettleman,1
324,story,305125998,Jeffrey Gettleman,gettleman,1
325,syria,305125998,Jeffrey Gettleman,gettleman,1
326,taboos,305125998,Jeffrey Gettleman,gettleman,1
327,theLOOKNyt,305125998,Jeffrey Gettleman,gettleman,1
328,thedailypodcast,305125998,Jeffrey Gettleman,gettleman,1
329,water,305125998,Jeffrey Gettleman,gettleman,1
330,weapons,305125998,Jeffrey Gettleman,gettleman,1
331,wildlife,305125998,Jeffrey Gettleman,gettleman,1
332,wildlifecrime,305125998,Jeffrey Gettleman,gettleman,2
333,women,305125998,Jeffrey Gettleman,gettleman,1
334,womenshealth,305125998,Jeffrey Gettleman,gettleman,1
335,workingfromhome,305125998,Jeffrey Gettleman,gettleman,1
336,world,305125998,Jeffrey Gettleman,gettleman,1
337,zimbabwecoup,305125998,Jeffrey Gettleman,gettleman,1
338,इस्लाम_शेरी,305125998,Jeffrey Gettleman,gettleman,1
339,2019Coundown,26475943,A24 Media,a24media,1
340,2019countdown,26475943,A24 Media,a24media,2
341,25May2017,26475943,A24 Media,a24media,1
342,57YearsofIndependence,26475943,A24 Media,a24media,2
343,72anniversary,26475943,A24 Media,a24media,1
344,7Days,26475943,A24 Media,a24media,1
345,A24LoveStories,26475943,A24 Media,a24media,1
346,A24Media,26475943,A24 Media,a24media,1
347,A24Stories,26475943,A24 Media,a24media,3
348,AAWConference,26475943,A24 Media,a24media,1
349,AAWConference2018,26475943,A24 Media,a24media,1
350,AFRICA,26475943,A24 Media,a24media,1
351,AGCCI2018,26475943,A24 Media,a24media,2
352,AGOA,26475943,A24 Media,a24media,2
353,AIDAfrica,26475943,A24 Media,a24media,1
354,AIDFAfrica,26475943,A24 Media,a24media,4
355,AIDFafrica,26475943,A24 Media,a24media,1
356,AIDS,26475943,A24 Media,a24media,1
357,AIDSPrograms,26475943,A24 Media,a24media,1
358,AJEA2017,26475943,A24 Media,a24media,1
359,AMREFFlying,26475943,A24 Media,a24media,1
360,ATM,26475943,A24 Media,a24media,1
361,AboudJumbe,26475943,A24 Media,a24media,1
362,Abrahamlincoln,26475943,A24 Media,a24media,1
363,Absolute,26475943,A24 Media,a24media,1
364,Abuja,26475943,A24 Media,a24media,1
365,AcceptandMoveon,26475943,A24 Media,a24media,1
366,Adinkra,26475943,A24 Media,a24media,1
367,Adrenaline,26475943,A24 Media,a24media,1
368,AfCFTA,26475943,A24 Media,a24media,1
369,Africa,26475943,A24 Media,a24media,271
370,Africa24Documents,26475943,A24 Media,a24media,1
371,AfricaClimateWeek,26475943,A24 Media,a24media,1
372,AfricaDay,26475943,A24 Media,a24media,17
373,AfricaDay2019,26475943,A24 Media,a24media,1
374,AfricaDevelopmentPartnership,26475943,A24 Media,a24media,1
375,AfricaDevelopmentPartnerships,26475943,A24 Media,a24media,1
376,AfricaFacts,26475943,A24 Media,a24media,1
377,AfricaFreeTradeArea,26475943,A24 Media,a24media,1
378,AfricaJournal,26475943,A24 Media,a24media,42
379,AfricaLD,26475943,A24 Media,a24media,1
380,AfricaPulse,26475943,A24 Media,a24media,1
381,AfricaTalksJobs,26475943,A24 Media,a24media,1
382,AfricaTechSummitKigali2018,26475943,A24 Media,a24media,1
383,AfricameansBusiness,26475943,A24 Media,a24media,1
384,African,26475943,A24 Media,a24media,21
385,AfricanIdentitySeries,26475943,A24 Media,a24media,1
386,AfricanMusic,26475943,A24 Media,a24media,1
387,AfricanProverb,26475943,A24 Media,a24media,1
388,AfricanProverbs,26475943,A24 Media,a24media,2
389,AfricanProvide,26475943,A24 Media,a24media,1
390,AfricanStories,26475943,A24 Media,a24media,3
391,AfricanVoices10,26475943,A24 Media,a24media,4
392,AfricanWoman,26475943,A24 Media,a24media,1
393,AfricanWomen,26475943,A24 Media,a24media,1
394,Africans,26475943,A24 Media,a24media,2
395,AfricansRising,26475943,A24 Media,a24media,2
396,AfricasVoice,26475943,A24 Media,a24media,1
397,Africn,26475943,A24 Media,a24media,1
398,Agaseke,26475943,A24 Media,a24media,1
399,AgriNutrition,26475943,A24 Media,a24media,1
400,Agriculture,26475943,A24 Media,a24media,12
401,Agrinutrition,26475943,A24 Media,a24media,1
402,Agripreneurship,26475943,A24 Media,a24media,1
403,Aid,26475943,A24 Media,a24media,1
404,Airport,26475943,A24 Media,a24media,1
405,AishaNiyonkuru,26475943,A24 Media,a24media,1
406,Akon,26475943,A24 Media,a24media,2
407,Alexandria,26475943,A24 Media,a24media,1
408,Algeria,26475943,A24 Media,a24media,1
409,Aljazeera,26475943,A24 Media,a24media,1
410,Alshabaab,26475943,A24 Media,a24media,1
411,AmboseliNationalReserve,26475943,A24 Media,a24media,1
412,Amin,26475943,A24 Media,a24media,1
413,AnimalWelfare,26475943,A24 Media,a24media,5
414,AnimalsmatterAF,26475943,A24 Media,a24media,1
415,Animore,26475943,A24 Media,a24media,4
416,AntiCorruptionDay,26475943,A24 Media,a24media,1
417,April,26475943,A24 Media,a24media,2
418,Article19EAat10,26475943,A24 Media,a24media,1
419,Asmara,26475943,A24 Media,a24media,1
420,AsteroidDay,26475943,A24 Media,a24media,1
421,AustralianGovernment,26475943,A24 Media,a24media,1
422,Autism,26475943,A24 Media,a24media,1
423,AutismAwareness,26475943,A24 Media,a24media,1
424,Aviation,26475943,A24 Media,a24media,1
425,Award,26475943,A24 Media,a24media,1
426,AwholeNewWorld,26475943,A24 Media,a24media,1
427,BETAwards2017,26475943,A24 Media,a24media,1
428,BREAKING,26475943,A24 Media,a24media,1
429,BalanceforBetter,26475943,A24 Media,a24media,1
430,Baobab2018,26475943,A24 Media,a24media,4
431,BeatPlasticPollution,26475943,A24 Media,a24media,1
432,Beauty,26475943,A24 Media,a24media,1
433,Benin,26475943,A24 Media,a24media,2
434,Bestof2017,26475943,A24 Media,a24media,3
435,BestofScoop,26475943,A24 Media,a24media,1
436,BestoftheScoop2017,26475943,A24 Media,a24media,1
437,BetAwards,26475943,A24 Media,a24media,1
438,Biography,26475943,A24 Media,a24media,2
439,Biogrphies,26475943,A24 Media,a24media,1
440,BlackRhinos,26475943,A24 Media,a24media,1
441,Bleaching,26475943,A24 Media,a24media,1
442,BloodDonor,26475943,A24 Media,a24media,1
443,BloodDonors,26475943,A24 Media,a24media,1
444,Bole,26475943,A24 Media,a24media,1
445,BoleInternationalAirport,26475943,A24 Media,a24media,1
446,Botswana,26475943,A24 Media,a24media,3
447,BreakingNews,26475943,A24 Media,a24media,1
448,Breakingnews,26475943,A24 Media,a24media,1
449,BreastCancer,26475943,A24 Media,a24media,1
